"name","run.no.in.std.order","run.no","run.no.std.rp","size","temp","Blocks"
"330","31",330,"31.8","0","e",".8"
"331","4",331,"4.8","3","n",".8"
"332","29",332,"29.8","13","t",".8"
"333","15",333,"15.8","14","n",".8"
"334","3",334,"3.8","2","n",".8"
"335","16",335,"16.8","0","t",".8"
"336","24",336,"24.8","8","t",".8"
"337","21",337,"21.8","5","t",".8"
"338","38",338,"38.8","7","e",".8"
"339","36",339,"36.8","5","e",".8"
"340","34",340,"34.8","3","e",".8"
"341","6",341,"6.8","5","n",".8"
"342","41",342,"41.8","10","e",".8"
"343","37",343,"37.8","6","e",".8"
"344","45",344,"45.8","14","e",".8"
"345","5",345,"5.8","4","n",".8"
"346","11",346,"11.8","10","n",".8"
"347","10",347,"10.8","9","n",".8"
"348","32",348,"32.8","1","e",".8"
"349","39",349,"39.8","8","e",".8"
"350","25",350,"25.8","9","t",".8"
"351","28",351,"28.8","12","t",".8"
"352","19",352,"19.8","3","t",".8"
"353","18",353,"18.8","2","t",".8"
"354","43",354,"43.8","12","e",".8"
"355","42",355,"42.8","11","e",".8"
"356","27",356,"27.8","11","t",".8"
"357","35",357,"35.8","4","e",".8"
"358","30",358,"30.8","14","t",".8"
"359","2",359,"2.8","1","n",".8"
"360","17",360,"17.8","1","t",".8"
"361","4",361,"4.9","3","n",".9"
"362","33",362,"33.9","2","e",".9"
"363","29",363,"29.9","13","t",".9"
"364","37",364,"37.9","6","e",".9"
"365","39",365,"39.9","8","e",".9"
"366","15",366,"15.9","14","n",".9"
"367","42",367,"42.9","11","e",".9"
"368","18",368,"18.9","2","t",".9"
"369","9",369,"9.9","8","n",".9"
"370","41",370,"41.9","10","e",".9"
"371","43",371,"43.9","12","e",".9"
"372","31",372,"31.9","0","e",".9"
"373","7",373,"7.9","6","n",".9"
"374","45",374,"45.9","14","e",".9"
"375","36",375,"36.9","5","e",".9"
"376","11",376,"11.9","10","n",".9"
"377","24",377,"24.9","8","t",".9"
"378","38",378,"38.9","7","e",".9"
"379","20",379,"20.9","4","t",".9"
"380","3",380,"3.9","2","n",".9"
"381","10",381,"10.9","9","n",".9"
"382","27",382,"27.9","11","t",".9"
"383","2",383,"2.9","1","n",".9"
"384","28",384,"28.9","12","t",".9"
"385","5",385,"5.9","4","n",".9"
"386","22",386,"22.9","6","t",".9"
"387","6",387,"6.9","5","n",".9"
"388","25",388,"25.9","9","t",".9"
"389","35",389,"35.9","4","e",".9"
"390","40",390,"40.9","9","e",".9"
"391","30",391,"30.9","14","t",".9"
"392","19",392,"19.9","3","t",".9"
"393","12",393,"12.9","11","n",".9"
"394","8",394,"8.9","7","n",".9"
"395","23",395,"23.9","7","t",".9"
"396","16",396,"16.9","0","t",".9"
"397","32",397,"32.9","1","e",".9"
"398","26",398,"26.9","10","t",".9"
"399","34",399,"34.9","3","e",".9"
"400","14",400,"14.9","13","n",".9"
"401","1",401,"1.9","0","n",".9"
"402","13",402,"13.9","12","n",".9"
"403","44",403,"44.9","13","e",".9"
"404","21",404,"21.9","5","t",".9"
"405","17",405,"17.9","1","t",".9"
"406","32",406,"32.10","1","e",".10"
"407","7",407,"7.10","6","n",".10"
"408","5",408,"5.10","4","n",".10"
"409","24",409,"24.10","8","t",".10"
"410","14",410,"14.10","13","n",".10"
"411","40",411,"40.10","9","e",".10"
"412","25",412,"25.10","9","t",".10"
"413","27",413,"27.10","11","t",".10"
"414","34",414,"34.10","3","e",".10"
"415","22",415,"22.10","6","t",".10"
"416","38",416,"38.10","7","e",".10"
"417","45",417,"45.10","14","e",".10"
"418","9",418,"9.10","8","n",".10"
"419","44",419,"44.10","13","e",".10"
"420","17",420,"17.10","1","t",".10"
"421","4",421,"4.10","3","n",".10"
"422","1",422,"1.10","0","n",".10"
"423","41",423,"41.10","10","e",".10"
"424","29",424,"29.10","13","t",".10"
"425","43",425,"43.10","12","e",".10"
"426","37",426,"37.10","6","e",".10"
"427","39",427,"39.10","8","e",".10"
"428","10",428,"10.10","9","n",".10"
"429","3",429,"3.10","2","n",".10"
"430","18",430,"18.10","2","t",".10"
"431","12",431,"12.10","11","n",".10"
"432","2",432,"2.10","1","n",".10"
"433","31",433,"31.10","0","e",".10"
"434","13",434,"13.10","12","n",".10"
"435","28",435,"28.10","12","t",".10"
"436","30",436,"30.10","14","t",".10"
"437","8",437,"8.10","7","n",".10"
"438","26",438,"26.10","10","t",".10"
"439","11",439,"11.10","10","n",".10"
"440","21",440,"21.10","5","t",".10"
"441","23",441,"23.10","7","t",".10"
"442","33",442,"33.10","2","e",".10"
"443","20",443,"20.10","4","t",".10"
"444","15",444,"15.10","14","n",".10"
"445","42",445,"42.10","11","e",".10"
