"counter","r","version","value"
offcore_requests.all_data_rd,one,n.n,278987
offcore_requests.all_data_rd,one,n.t,282904
offcore_requests.all_data_rd,one,n.t.f,13224
offcore_requests.all_data_rd,one,n.x,10608
offcore_requests.all_data_rd,one,t.n,282470
offcore_requests.all_data_rd,one,t.t,283395
offcore_requests.all_data_rd,one,t.t.f,19655
offcore_requests.all_data_rd,one,t.x,18118
offcore_requests.all_data_rd,one,x.n,235682
offcore_requests.all_data_rd,one,x.t,236012
offcore_requests.all_data_rd,rep,n.n,262840958
offcore_requests.all_data_rd,rep,n.t,262851855
offcore_requests.all_data_rd,rep,n.t.f,11107
offcore_requests.all_data_rd,rep,n.x,43329
offcore_requests.all_data_rd,rep,t.n,263029644
offcore_requests.all_data_rd,rep,t.t,263044731
offcore_requests.all_data_rd,rep,t.t.f,18200
offcore_requests.all_data_rd,rep,t.x,651106
offcore_requests.all_data_rd,rep,x.n,229737282
offcore_requests.all_data_rd,rep,x.t,229753416
ocr.pf_l3_data_rd.l3_miss.any_snoop,one,n.n,0
ocr.pf_l3_data_rd.l3_miss.any_snoop,one,n.t,0
ocr.pf_l3_data_rd.l3_miss.any_snoop,one,n.t.f,0
ocr.pf_l3_data_rd.l3_miss.any_snoop,one,n.x,0
ocr.pf_l3_data_rd.l3_miss.any_snoop,one,t.n,0
ocr.pf_l3_data_rd.l3_miss.any_snoop,one,t.t,0
ocr.pf_l3_data_rd.l3_miss.any_snoop,one,t.t.f,0
ocr.pf_l3_data_rd.l3_miss.any_snoop,one,t.x,0
ocr.pf_l3_data_rd.l3_miss.any_snoop,one,x.n,0
ocr.pf_l3_data_rd.l3_miss.any_snoop,one,x.t,0
ocr.pf_l3_data_rd.l3_miss.any_snoop,rep,n.n,0
ocr.pf_l3_data_rd.l3_miss.any_snoop,rep,n.t,0
ocr.pf_l3_data_rd.l3_miss.any_snoop,rep,n.t.f,0
ocr.pf_l3_data_rd.l3_miss.any_snoop,rep,n.x,0
ocr.pf_l3_data_rd.l3_miss.any_snoop,rep,t.n,0
ocr.pf_l3_data_rd.l3_miss.any_snoop,rep,t.t,0
ocr.pf_l3_data_rd.l3_miss.any_snoop,rep,t.t.f,0
ocr.pf_l3_data_rd.l3_miss.any_snoop,rep,t.x,0
ocr.pf_l3_data_rd.l3_miss.any_snoop,rep,x.n,0
ocr.pf_l3_data_rd.l3_miss.any_snoop,rep,x.t,0
l2_rqsts.pf_hit,one,n.n,101393
l2_rqsts.pf_hit,one,n.t,125596
l2_rqsts.pf_hit,one,n.t.f,11688
l2_rqsts.pf_hit,one,n.x,10530
l2_rqsts.pf_hit,one,t.n,110738
l2_rqsts.pf_hit,one,t.t,110793
l2_rqsts.pf_hit,one,t.t.f,12034
l2_rqsts.pf_hit,one,t.x,11162
l2_rqsts.pf_hit,one,x.n,82968
l2_rqsts.pf_hit,one,x.t,90636
l2_rqsts.pf_hit,rep,n.n,93566751
l2_rqsts.pf_hit,rep,n.t,95406020
l2_rqsts.pf_hit,rep,n.t.f,11396
l2_rqsts.pf_hit,rep,n.x,60933
l2_rqsts.pf_hit,rep,t.n,108193676
l2_rqsts.pf_hit,rep,t.t,109598127
l2_rqsts.pf_hit,rep,t.t.f,11515
l2_rqsts.pf_hit,rep,t.x,4733510
l2_rqsts.pf_hit,rep,x.n,79733797
l2_rqsts.pf_hit,rep,x.t,79325756
