"counter","size","memtype","temp","opt","value"
L1D_PEND_MISS:FB_FULL,small,wb,nt,O2.4,596735845
L1D_PEND_MISS:FB_FULL,small,wc,t,O2.4,0
L1D_PEND_MISS:FB_FULL,small,wc,nt,O2.4,4346307790
L1D_PEND_MISS:FB_FULL,small,unc,t,O2.4,0
L1D_PEND_MISS:FB_FULL,small,unc,nt,O2.4,0
L1D_PEND_MISS:REQUEST_FB_FULL,small,wb,t,O2.4,1873549223
L1D_PEND_MISS:REQUEST_FB_FULL,small,wb,nt,O2.4,684985365
L1D_PEND_MISS:REQUEST_FB_FULL,small,wc,t,O2.4,0
L1D_PEND_MISS:REQUEST_FB_FULL,small,wc,nt,O2.4,6361428001
L1D_PEND_MISS:REQUEST_FB_FULL,small,unc,t,O2.4,0
L1D_PEND_MISS:REQUEST_FB_FULL,small,unc,nt,O2.4,0
L1D_PEND_MISS:REQUEST_FB_FULL,small,wb,t,O2.4,1782102831
L1D_PEND_MISS:REQUEST_FB_FULL,small,wb,nt,O2.4,634935373
L1D_PEND_MISS:REQUEST_FB_FULL,small,wc,t,O2.4,0
L1D_PEND_MISS:REQUEST_FB_FULL,small,wc,nt,O2.4,6433227707
L1D_PEND_MISS:REQUEST_FB_FULL,small,unc,t,O2.4,0
L1D_PEND_MISS:REQUEST_FB_FULL,small,unc,nt,O2.4,0
MEM_LOAD_UOPS_RETIRED:HIT_LFB,small,wb,t,O2.4,654758987
MEM_LOAD_UOPS_RETIRED:HIT_LFB,small,wb,nt,O2.4,654873728
MEM_LOAD_UOPS_RETIRED:HIT_LFB,small,wc,t,O2.4,3
MEM_LOAD_UOPS_RETIRED:HIT_LFB,small,wc,nt,O2.4,5
MEM_LOAD_UOPS_RETIRED:HIT_LFB,small,unc,t,O2.4,9
MEM_LOAD_UOPS_RETIRED:HIT_LFB,small,unc,nt,O2.4,3
MEM_LOAD_UOPS_RETIRED:HIT_LFB,small,wb,t,O2.4,654949412
MEM_LOAD_UOPS_RETIRED:HIT_LFB,small,wb,nt,O2.4,654664253
MEM_LOAD_UOPS_RETIRED:HIT_LFB,small,wc,t,O2.4,5
MEM_LOAD_UOPS_RETIRED:HIT_LFB,small,wc,nt,O2.4,3
MEM_LOAD_UOPS_RETIRED:HIT_LFB,small,unc,t,O2.4,5
MEM_LOAD_UOPS_RETIRED:HIT_LFB,small,unc,nt,O2.4,6
PAPI_TOT_CYC,small,wb,t,O2.4,3201204825
PAPI_TOT_CYC,small,wb,nt,O2.4,3355895589
PAPI_TOT_CYC,small,wc,t,O2.4,271906066413
PAPI_TOT_CYC,small,wc,nt,O2.4,15912530380
PAPI_TOT_CYC,small,unc,t,O2.4,271908467700
PAPI_TOT_CYC,small,unc,nt,O2.4,271912534324
