"counter","size","memtype","temp","opt","value"
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wb,nt,O2.pchasing,1970071076
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wc,t,O2.pchasing,1966081844
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wc,nt,O2.pchasing,1966086473
OFFCORE_RESPONSE_0:ANY_REQUEST,small,unc,t,O2.pchasing,1966081585
OFFCORE_RESPONSE_0:ANY_REQUEST,small,unc,nt,O2.pchasing,1966083099
OFFCORE_RESPONSE_0:DMND_DATA_RD,huge,wb,t,O2.pchasing,1970562842
OFFCORE_RESPONSE_0:DMND_DATA_RD,huge,wb,nt,O2.pchasing,1970567970
OFFCORE_RESPONSE_0:DMND_DATA_RD,huge,wc,t,O2.pchasing,3849670
OFFCORE_RESPONSE_0:DMND_DATA_RD,huge,wc,nt,O2.pchasing,3846994
OFFCORE_RESPONSE_0:DMND_DATA_RD,huge,unc,t,O2.pchasing,3847776
OFFCORE_RESPONSE_0:DMND_DATA_RD,huge,unc,nt,O2.pchasing,3846621
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,wb,t,O2.pchasing,1970049901
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,wb,nt,O2.pchasing,1970110942
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,wc,t,O2.pchasing,2276
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,wc,nt,O2.pchasing,2442
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,unc,t,O2.pchasing,3467
OFFCORE_RESPONSE_0:DMND_DATA_RD,small,unc,nt,O2.pchasing,2035
OFFCORE_REQUESTS:DEMAND_DATA_RD,huge,wb,t,O2.pchasing,1970558127
OFFCORE_REQUESTS:DEMAND_DATA_RD,huge,wb,nt,O2.pchasing,1970581003
OFFCORE_REQUESTS:DEMAND_DATA_RD,huge,wc,t,O2.pchasing,3847304
OFFCORE_REQUESTS:DEMAND_DATA_RD,huge,wc,nt,O2.pchasing,3848895
OFFCORE_REQUESTS:DEMAND_DATA_RD,huge,unc,t,O2.pchasing,3846899
OFFCORE_REQUESTS:DEMAND_DATA_RD,huge,unc,nt,O2.pchasing,3846091
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,wb,t,O2.pchasing,1970051825
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,wb,nt,O2.pchasing,1970069398
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,wc,t,O2.pchasing,3743
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,wc,nt,O2.pchasing,3333
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,unc,t,O2.pchasing,1593
OFFCORE_REQUESTS:DEMAND_DATA_RD,small,unc,nt,O2.pchasing,2066
L1D_PEND_MISS:FB_FULL,huge,wb,t,O2.pchasing,0
L1D_PEND_MISS:FB_FULL,huge,wb,nt,O2.pchasing,0
L1D_PEND_MISS:FB_FULL,huge,wc,t,O2.pchasing,0
L1D_PEND_MISS:FB_FULL,huge,wc,nt,O2.pchasing,3378394836
L1D_PEND_MISS:FB_FULL,huge,unc,t,O2.pchasing,1
L1D_PEND_MISS:FB_FULL,huge,unc,nt,O2.pchasing,0
L1D_PEND_MISS:FB_FULL,small,wb,t,O2.pchasing,0
L1D_PEND_MISS:FB_FULL,small,wb,nt,O2.pchasing,0
L1D_PEND_MISS:FB_FULL,small,wc,t,O2.pchasing,0
L1D_PEND_MISS:FB_FULL,small,wc,nt,O2.pchasing,3378093548
L1D_PEND_MISS:FB_FULL,small,unc,t,O2.pchasing,0
L1D_PEND_MISS:FB_FULL,small,unc,nt,O2.pchasing,0
L1D_PEND_MISS:REQUEST_FB_FULL,huge,wb,t,O2.pchasing,0
L1D_PEND_MISS:REQUEST_FB_FULL,huge,wb,nt,O2.pchasing,0
L1D_PEND_MISS:REQUEST_FB_FULL,huge,wc,t,O2.pchasing,0
L1D_PEND_MISS:REQUEST_FB_FULL,huge,wc,nt,O2.pchasing,3378405078
L1D_PEND_MISS:REQUEST_FB_FULL,huge,unc,t,O2.pchasing,0
L1D_PEND_MISS:REQUEST_FB_FULL,huge,unc,nt,O2.pchasing,0
L1D_PEND_MISS:REQUEST_FB_FULL,small,wb,t,O2.pchasing,0
L1D_PEND_MISS:REQUEST_FB_FULL,small,wb,nt,O2.pchasing,0
L1D_PEND_MISS:REQUEST_FB_FULL,small,wc,t,O2.pchasing,0
L1D_PEND_MISS:REQUEST_FB_FULL,small,wc,nt,O2.pchasing,3378084077
L1D_PEND_MISS:REQUEST_FB_FULL,small,unc,t,O2.pchasing,0
L1D_PEND_MISS:REQUEST_FB_FULL,small,unc,nt,O2.pchasing,0
MEM_LOAD_UOPS_RETIRED:HIT_LFB,huge,wb,t,O2.pchasing,113851
MEM_LOAD_UOPS_RETIRED:HIT_LFB,huge,wb,nt,O2.pchasing,118219
MEM_LOAD_UOPS_RETIRED:HIT_LFB,huge,wc,t,O2.pchasing,6
MEM_LOAD_UOPS_RETIRED:HIT_LFB,huge,wc,nt,O2.pchasing,9
MEM_LOAD_UOPS_RETIRED:HIT_LFB,huge,unc,t,O2.pchasing,4
MEM_LOAD_UOPS_RETIRED:HIT_LFB,huge,unc,nt,O2.pchasing,6
MEM_LOAD_UOPS_RETIRED:HIT_LFB,small,wb,t,O2.pchasing,232614
MEM_LOAD_UOPS_RETIRED:HIT_LFB,small,wb,nt,O2.pchasing,413487
MEM_LOAD_UOPS_RETIRED:HIT_LFB,small,wc,t,O2.pchasing,9
MEM_LOAD_UOPS_RETIRED:HIT_LFB,small,wc,nt,O2.pchasing,7
MEM_LOAD_UOPS_RETIRED:HIT_LFB,small,unc,t,O2.pchasing,11
MEM_LOAD_UOPS_RETIRED:HIT_LFB,small,unc,nt,O2.pchasing,3
PAPI_TOT_CYC,huge,wb,t,O2.pchasing,407136736382
PAPI_TOT_CYC,huge,wb,nt,O2.pchasing,412111172091
PAPI_TOT_CYC,huge,wc,t,O2.pchasing,432749771351
PAPI_TOT_CYC,huge,wc,nt,O2.pchasing,464469006375
PAPI_TOT_CYC,huge,unc,t,O2.pchasing,432750044428
PAPI_TOT_CYC,huge,unc,nt,O2.pchasing,439847062312
PAPI_TOT_CYC,small,wb,t,O2.pchasing,76222900320
PAPI_TOT_CYC,small,wb,nt,O2.pchasing,86485942852
PAPI_TOT_CYC,small,wc,t,O2.pchasing,432504076782
PAPI_TOT_CYC,small,wc,nt,O2.pchasing,464455189703
PAPI_TOT_CYC,small,unc,t,O2.pchasing,432514975817
PAPI_TOT_CYC,small,unc,nt,O2.pchasing,440544009545
CYCLE_ACTIVITY:STALLS_L1D_PENDING,huge,wb,t,O2.pchasing,391981405328
CYCLE_ACTIVITY:STALLS_L1D_PENDING,huge,wb,nt,O2.pchasing,390276431839
CYCLE_ACTIVITY:STALLS_L1D_PENDING,huge,wc,t,O2.pchasing,206983224
CYCLE_ACTIVITY:STALLS_L1D_PENDING,huge,wc,nt,O2.pchasing,313208256
CYCLE_ACTIVITY:STALLS_L1D_PENDING,huge,unc,t,O2.pchasing,204415744
CYCLE_ACTIVITY:STALLS_L1D_PENDING,huge,unc,nt,O2.pchasing,198127082
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wb,t,O2.pchasing,62599188199
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wb,nt,O2.pchasing,64430536987
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wc,t,O2.pchasing,5066025
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wc,nt,O2.pchasing,3837703
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,unc,t,O2.pchasing,5045209
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,unc,nt,O2.pchasing,6191572
CYCLE_ACTIVITY:STALLS_LDM_PENDING,huge,wb,t,O2.pchasing,404895156419
CYCLE_ACTIVITY:STALLS_LDM_PENDING,huge,wb,nt,O2.pchasing,405693184096
CYCLE_ACTIVITY:STALLS_LDM_PENDING,huge,wc,t,O2.pchasing,430519061980
CYCLE_ACTIVITY:STALLS_LDM_PENDING,huge,wc,nt,O2.pchasing,458434289615
CYCLE_ACTIVITY:STALLS_LDM_PENDING,huge,unc,t,O2.pchasing,430519519752
CYCLE_ACTIVITY:STALLS_LDM_PENDING,huge,unc,nt,O2.pchasing,433818127958
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wb,t,O2.pchasing,72717400419
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wb,nt,O2.pchasing,78255052379
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wc,t,O2.pchasing,430418917744
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wc,nt,O2.pchasing,458432342618
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,unc,t,O2.pchasing,430507760693
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,unc,nt,O2.pchasing,434592028152
L1-DCACHE-LOADS,huge,wb,t,O2.pchasing,2027729357
L1-DCACHE-LOADS,huge,wb,nt,O2.pchasing,2027732397
L1-DCACHE-LOADS,huge,wc,t,O2.pchasing,2027670954
L1-DCACHE-LOADS,huge,wc,nt,O2.pchasing,2027674108
L1-DCACHE-LOADS,huge,unc,t,O2.pchasing,2027663654
L1-DCACHE-LOADS,huge,unc,nt,O2.pchasing,2027672416
L1-DCACHE-LOADS,small,wb,t,O2.pchasing,2027560194
L1-DCACHE-LOADS,small,wb,nt,O2.pchasing,2027563220
L1-DCACHE-LOADS,small,wc,t,O2.pchasing,2027664798
L1-DCACHE-LOADS,small,wc,nt,O2.pchasing,2027671827
L1-DCACHE-LOADS,small,unc,t,O2.pchasing,2027659501
L1-DCACHE-LOADS,small,unc,nt,O2.pchasing,2027673488
L1-DCACHE-LOAD-MISSES,huge,wb,t,O2.pchasing,1970621896
L1-DCACHE-LOAD-MISSES,huge,wb,nt,O2.pchasing,1970609078
L1-DCACHE-LOAD-MISSES,huge,wc,t,O2.pchasing,3989804
L1-DCACHE-LOAD-MISSES,huge,wc,nt,O2.pchasing,3997688
L1-DCACHE-LOAD-MISSES,huge,unc,t,O2.pchasing,4029367
L1-DCACHE-LOAD-MISSES,huge,unc,nt,O2.pchasing,4015401
L1-DCACHE-LOAD-MISSES,small,wb,t,O2.pchasing,1970046410
L1-DCACHE-LOAD-MISSES,small,wb,nt,O2.pchasing,1970046368
L1-DCACHE-LOAD-MISSES,small,wc,t,O2.pchasing,681223
L1-DCACHE-LOAD-MISSES,small,wc,nt,O2.pchasing,575803
L1-DCACHE-LOAD-MISSES,small,unc,t,O2.pchasing,798367
