"name","run.no.in.std.order","run.no","run.no.std.rp","sizea","sizeb","temp"
"361","240",361,240,"12","6","tn"
"362","201",362,201,"9","4","tn"
"363","74",363,74,"12","9","nn"
"364","139",364,139,"15","10","tn"
"365","333",365,333,"11","7","nn"
"366","362",366,362,"16","9","tn"
"367","94",367,94,"16","12","nt"
"368","226",368,226,"14","12","tt"
"369","239",369,239,"13","12","tn"
"370","234",370,234,"9","4","tt"
"371","177",371,177,"12","11","tt"
"372","285",372,285,"15","14","tt"
"373","86",373,86,"13","4","tt"
"374","388",374,388,"15","9","nt"
"375","142",375,142,"11","10","tt"
"376","14",376,14,"17","10","nn"
"377","380",377,380,"13","9","nt"
"378","296",378,296,"14","7","nn"
"379","87",379,87,"15","12","tt"
"380","341",380,341,"13","8","nt"
"381","130",381,130,"9","4","nn"
"382","328",382,328,"9","8","tt"
"383","22",383,22,"14","8","tt"
"384","165",384,165,"8","4","tt"
"385","290",385,290,"16","4","tt"
"386","245",386,245,"17","17","nn"
"387","58",387,58,"6","5","nt"
"388","312",388,312,"14","11","nn"
"389","154",389,154,"14","11","tt"
"390","56",390,56,"15","15","tt"
"391","403",391,403,"13","11","nt"
"392","43",392,43,"15","5","nt"
"393","195",393,195,"12","12","tt"
"394","207",394,207,"13","6","tn"
"395","261",395,261,"17","15","tn"
"396","159",396,159,"12","10","nn"
"397","34",397,34,"6","6","nt"
"398","12",398,12,"17","11","tn"
"399","353",399,353,"16","5","nn"
"400","326",400,326,"7","4","tt"
"401","288",401,288,"11","5","nt"
"402","283",402,283,"15","8","tn"
"403","209",403,209,"15","12","nn"
"404","359",404,359,"16","16","nt"
"405","282",405,282,"16","10","nt"
"406","147",406,147,"16","8","tn"
"407","134",407,134,"16","14","nt"
"408","237",408,237,"17","13","nn"
"409","345",409,345,"16","11","tn"
"410","361",410,361,"10","4","tt"
"411","76",411,76,"8","8","nn"
"412","61",412,61,"7","4","nn"
"413","318",413,318,"10","9","nn"
"414","355",414,355,"16","9","tt"
"415","363",415,363,"13","6","nt"
"416","84",416,84,"16","13","tt"
"417","126",417,126,"7","7","nn"
"418","398",418,398,"17","14","nt"
"419","314",419,314,"12","11","tn"
"420","92",420,92,"10","5","tt"
