"name","run.no.in.std.order","run.no","run.no.std.rp","sizea","sizeb","temp","Blocks"
"499","116",499,"116.5","8","13","tt",".5"
"500","63",500,"63.5","7","0","tt",".5"
"503","102",503,"102.5","6","10","tt",".5"
"506","91",506,"91.5","7","7","tt",".5"
"508","103",508,"103.5","7","10","tt",".5"
"510","98",510,"98.5","6","9","tt",".5"
"512","113",512,"113.5","5","13","tt",".5"
"513","94",513,"94.5","6","8","tt",".5"
"514","77",514,"77.5","5","4","tt",".5"
"515","97",515,"97.5","5","9","tt",".5"
"520","81",520,"81.5","5","5","tt",".5"
"521","96",521,"96.5","8","8","tt",".5"
"523","67",523,"67.5","7","1","tt",".5"
"524","68",524,"68.5","8","1","tt",".5"
"529","73",529,"73.5","5","3","tt",".5"
"530","69",530,"69.5","5","2","tt",".5"
"534","118",534,"118.5","6","14","tt",".5"
"535","84",535,"84.5","8","5","tt",".5"
"538","105",538,"105.5","5","11","tt",".5"
"543","112",543,"112.5","8","12","tt",".5"
"544","109",544,"109.5","5","12","tt",".5"
"546","120",546,"120.5","8","14","tt",".5"
"547","85",547,"85.5","5","6","tt",".5"
"548","64",548,"64.5","8","0","tt",".5"
"550","90",550,"90.5","6","7","tt",".5"
"554","74",554,"74.5","6","3","tt",".5"
"560","62",560,"62.5","6","0","tt",".5"
"561","80",561,"80.5","8","4","tt",".5"
"563","106",563,"106.5","6","11","tt",".5"
"565","71",565,"71.5","7","2","tt",".5"
"568","99",568,"99.5","7","9","tt",".5"
"572","61",572,"61.5","5","0","tt",".5"
"573","117",573,"117.5","5","14","tt",".5"
"575","93",575,"93.5","5","8","tt",".5"
"576","78",576,"78.5","6","4","tt",".5"
"579","107",579,"107.5","7","11","tt",".5"
"581","108",581,"108.5","8","11","tt",".5"
"583","114",583,"114.5","6","13","tt",".5"
"584","79",584,"79.5","7","4","tt",".5"
"586","87",586,"87.5","7","6","tt",".5"
"589","104",589,"104.5","8","10","tt",".5"
"590","86",590,"86.5","6","6","tt",".5"
"594","88",594,"88.5","8","6","tt",".5"
"595","101",595,"101.5","5","10","tt",".5"
"597","65",597,"65.5","5","1","tt",".5"
"598","72",598,"72.5","8","2","tt",".5"
"600","70",600,"70.5","6","2","tt",".5"
"604","61",604,"61.6","5","0","tt",".6"
"605","99",605,"99.6","7","9","tt",".6"
"607","77",607,"77.6","5","4","tt",".6"
"609","119",609,"119.6","7","14","tt",".6"
"613","68",613,"68.6","8","1","tt",".6"
"616","84",616,"84.6","8","5","tt",".6"
"618","65",618,"65.6","5","1","tt",".6"
"619","111",619,"111.6","7","12","tt",".6"
"623","101",623,"101.6","5","10","tt",".6"
"624","73",624,"73.6","5","3","tt",".6"
"626","115",626,"115.6","7","13","tt",".6"
"627","113",627,"113.6","5","13","tt",".6"
"628","91",628,"91.6","7","7","tt",".6"
"629","110",629,"110.6","6","12","tt",".6"
"631","87",631,"87.6","7","6","tt",".6"
"632","92",632,"92.6","8","7","tt",".6"
"639","66",639,"66.6","6","1","tt",".6"
"644","105",644,"105.6","5","11","tt",".6"
"646","93",646,"93.6","5","8","tt",".6"
"647","118",647,"118.6","6","14","tt",".6"
"648","72",648,"72.6","8","2","tt",".6"
"649","97",649,"97.6","5","9","tt",".6"
"655","74",655,"74.6","6","3","tt",".6"
"656","104",656,"104.6","8","10","tt",".6"
"657","71",657,"71.6","7","2","tt",".6"
"658","95",658,"95.6","7","8","tt",".6"
"660","120",660,"120.6","8","14","tt",".6"
"666","108",666,"108.6","8","11","tt",".6"
"667","64",667,"64.6","8","0","tt",".6"
"668","85",668,"85.6","5","6","tt",".6"
"670","90",670,"90.6","6","7","tt",".6"
"673","67",673,"67.6","7","1","tt",".6"
"674","69",674,"69.6","5","2","tt",".6"
"675","62",675,"62.6","6","0","tt",".6"
"676","94",676,"94.6","6","8","tt",".6"
"678","106",678,"106.6","6","11","tt",".6"
"679","86",679,"86.6","6","6","tt",".6"
"681","78",681,"78.6","6","4","tt",".6"
"682","63",682,"63.6","7","0","tt",".6"
"684","109",684,"109.6","5","12","tt",".6"
"685","117",685,"117.6","5","14","tt",".6"
"687","81",687,"81.6","5","5","tt",".6"
"688","114",688,"114.6","6","13","tt",".6"
"689","112",689,"112.6","8","12","tt",".6"
"690","103",690,"103.6","7","10","tt",".6"
"691","107",691,"107.6","7","11","tt",".6"
"693","79",693,"79.6","7","4","tt",".6"
"696","96",696,"96.6","8","8","tt",".6"
"697","116",697,"116.6","8","13","tt",".6"
