"name","run.no.in.std.order","run.no","run.no.std.rp","sizea","sizeb","temp","Blocks"
"320","14141",320,14141,"12","12","nt",".30"
"321","20714",321,20714,"10","4","nn",".44"
"322","18816",322,18816,"12","4","tn",".40"
"323","21252",323,21252,"13","3","nn",".45"
"324","10881",324,10881,"8","0","nt",".23"
"325","9779",325,9779,"1","0","nt",".21"
"326","19570",326,19570,"11","11","nt",".42"
"327","4343",327,4343,"7","2","tt",".10"
"328","1323",328,1323,"10","10","nt",".3"
"329","9030",329,9030,"13","9","nn",".19"
"330","15095",330,15095,"12","11","nt",".32"
"331","21972",331,21972,"13","12","nt",".47"
"332","16969",332,16969,"13","9","tt",".36"
"333","18705",333,18705,"7","0","nn",".40"
"334","22024",334,22024,"13","12","nn",".47"
"335","6829",335,6829,"12","6","tn",".15"
"336","11151",336,11151,"11","1","nt",".24"
"337","17503",337,17503,"5","1","nn",".37"
"338","21058",338,21058,"12","5","nt",".45"
"339","12351",339,12351,"3","3","nn",".26"
"340","20640",340,20640,"13","13","nt",".44"
"341","7773",341,7773,"9","5","tt",".17"
"342","12413",342,12413,"12","5","nn",".27"
"343","11868",343,11868,"13","2","tt",".25"
"344","21939",344,21939,"12","8","nn",".47"
"345","1517",345,1517,"11","5","nt",".4"
"346","13500",346,13500,"3","3","tt",".29"
"347","13753",347,13753,"13","8","tt",".29"
"348","20307",348,20307,"2","1","tt",".43"
"349","6246",349,6246,"13","6","nn",".14"
"350","6345",350,6345,"5","3","nn",".14"
"351","3850",351,3850,"4","0","nt",".9"
"352","13913",352,13913,"10","2","tn",".30"
"353","8982",353,8982,"12","2","nt",".19"
"354","20261",354,20261,"11","1","nn",".43"
"355","99",355,99,"13","1","tn",".1"
"356","1055",356,1055,"14","7","tn",".3"
"357","21916",357,21916,"11","9","tn",".47"
"358","14379",358,14379,"9","4","tt",".31"
"359","15177",359,15177,"14","8","tt",".32"
"360","23037",360,23037,"10","4","tn",".49"
"361","15564",361,15564,"4","3","nn",".33"
"362","15115",362,15115,"13","9","tt",".32"
"363","18193",363,18193,"13","6","tt",".39"
"364","15407",364,15407,"8","8","nt",".33"
"365","6924",365,6924,"6","0","nn",".15"
"366","5147",366,5147,"10","0","tt",".11"
"367","10686",367,10686,"7","2","nt",".23"
"368","17124",368,17124,"8","0","tn",".36"
"369","10127",369,10127,"14","0","nt",".22"
"370","19806",370,19806,"14","6","nt",".42"
"371","11553",371,11553,"10","6","tn",".25"
"372","14525",372,14525,"2","2","nn",".31"
"373","18540",373,18540,"11","0","tn",".39"
"374","10367",374,10367,"13","4","nt",".22"
"375","496",375,496,"8","3","nn",".2"
"376","2632",376,2632,"9","9","nt",".6"
"377","5327",377,5327,"4","4","tn",".12"
"378","23141",378,23141,"13","9","nt",".49"
"379","19859",379,19859,"13","13","nt",".42"
"380","17993",380,17993,"10","5","nt",".38"
"381","2709",381,2709,"14","13","tt",".6"
"382","12033",382,12033,"8","2","nn",".26"
"383","15701",383,15701,"14","4","tt",".33"
"384","8946",384,8946,"6","3","nt",".19"
"385","8823",385,8823,"2","2","tn",".19"
"386","22732",386,22732,"8","4","nn",".48"
"387","13220",387,13220,"8","6","nn",".28"
"388","10452",388,10452,"13","5","nt",".22"
"389","1099",389,1099,"6","6","nt",".3"
"390","9775",390,9775,"8","1","tn",".21"
"391","3026",391,3026,"9","2","tn",".7"
"392","6022",392,6022,"12","4","tn",".13"
"393","11588",393,11588,"12","1","nt",".25"
"394","7982",394,7982,"6","4","tt",".17"
"395","9992",395,9992,"9","2","nt",".21"
"396","22920",396,22920,"11","8","nn",".49"
"397","19647",397,19647,"6","0","tn",".42"
"398","2431",398,2431,"7","1","tn",".6"
"399","5515",399,5515,"12","5","nt",".12"
"400","14930",400,14930,"12","10","nn",".32"
"401","3161",401,3161,"13","9","tt",".7"
"402","19073",402,19073,"9","7","nt",".41"
"403","19872",403,19872,"14","9","nt",".42"
"404","21683",404,21683,"12","1","tt",".46"
"405","9406",405,9406,"13","3","nt",".20"
"406","17970",406,17970,"10","4","nn",".38"
"407","3105",407,3105,"2","2","tn",".7"
"408","21366",408,21366,"14","1","tt",".45"
"409","16930",409,16930,"2","1","tn",".36"
"410","13945",410,13945,"2","1","tt",".30"
"411","8827",411,8827,"14","0","nn",".19"
"412","19530",412,19530,"9","7","tt",".42"
"413","12169",413,12169,"6","6","nn",".26"
"414","22309",414,22309,"1","1","nt",".47"
"415","1870",415,1870,"9","4","nn",".4"
"416","10063",416,10063,"6","3","tt",".22"
"417","7425",417,7425,"9","5","tn",".16"
"418","22970",418,22970,"14","3","nn",".49"
"419","10642",419,10642,"13","8","tt",".23"
"420","6435",420,6435,"4","0","nt",".14"
"421","11909",421,11909,"5","2","tt",".26"
"422","11830",422,11830,"11","2","tn",".25"
"423","13194",423,13194,"13","4","tn",".28"
"424","9548",424,9548,"13","3","nt",".21"
"425","19049",425,19049,"7","4","nn",".41"
"426","9998",426,9998,"6","4","nt",".22"
"427","7692",427,7692,"4","2","tt",".17"
"428","8172",428,8172,"13","7","tt",".18"
"429","5926",429,5926,"14","14","nt",".13"
"430","17805",430,17805,"11","0","nn",".38"
"431","10652",431,10652,"8","6","nt",".23"
"432","7581",432,7581,"8","7","tt",".16"
"433","13922",433,13922,"11","2","nt",".30"
"434","8317",434,8317,"13","5","nt",".18"
"435","4305",435,4305,"14","8","nn",".10"
"436","695",436,695,"11","0","nt",".2"
"437","13053",437,13053,"11","8","tn",".28"
"438","16743",438,16743,"9","5","nn",".36"
"439","17505",439,17505,"10","10","tn",".37"
"440","13750",440,13750,"7","4","tt",".29"
"441","13341",441,13341,"14","1","tt",".29"
"442","13689",442,13689,"6","1","nn",".29"
"443","11869",443,11869,"10","4","tn",".25"
"444","13805",444,13805,"13","5","nn",".30"
"445","3583",445,3583,"14","3","tt",".8"
"446","10762",446,10762,"2","1","nt",".23"
"447","1389",447,1389,"6","3","tn",".3"
"448","12198",448,12198,"5","0","tn",".26"
"449","19125",449,19125,"5","1","tn",".41"
"450","15450",450,15450,"3","3","nn",".33"
"451","19850",451,19850,"4","2","nn",".42"
"452","3851",452,3851,"7","6","tn",".9"
"453","15961",453,15961,"9","9","tn",".34"
"454","18095",454,18095,"11","5","nt",".39"
"455","14203",455,14203,"14","2","tn",".30"
"456","12408",456,12408,"12","3","nt",".27"
"457","17988",457,17988,"6","3","nt",".38"
"458","9861",458,9861,"12","5","tn",".21"
"459","21945",459,21945,"11","3","tn",".47"
"460","9536",460,9536,"11","2","tt",".21"
"461","8895",461,8895,"13","8","nt",".19"
"462","708",462,708,"2","2","tt",".2"
"463","8549",463,8549,"5","0","tt",".18"
"464","109",464,109,"3","2","tt",".1"
"465","9729",465,9729,"13","8","tn",".21"
"466","9471",466,9471,"6","5","nt",".20"
"467","16681",467,16681,"14","2","tt",".36"
"468","10730",468,10730,"6","1","nn",".23"
"469","1852",469,1852,"10","2","nn",".4"
"470","18664",470,18664,"3","1","tt",".40"
"471","20828",471,20828,"8","7","nn",".44"
"472","19912",472,19912,"14","14","nn",".42"
"473","306",473,306,"9","7","tn",".1"
"474","20368",474,20368,"10","10","tt",".43"
"475","15577",475,15577,"14","13","tn",".33"
"476","2076",476,2076,"8","3","tt",".5"
"477","19990",477,19990,"11","4","tt",".42"
"478","20819",478,20819,"12","1","nn",".44"
"479","9931",479,9931,"12","5","tt",".21"
"480","20482",480,20482,"8","8","tt",".44"
"481","17282",481,17282,"5","4","nn",".37"
"482","19653",482,19653,"12","3","nt",".42"
"483","10639",483,10639,"10","3","nn",".23"
"484","20275",484,20275,"11","9","tt",".43"
"485","5261",485,5261,"10","5","tn",".12"
"486","1532",486,1532,"13","3","nn",".4"
"487","2742",487,2742,"13","6","tn",".6"
"488","14201",488,14201,"14","9","nt",".30"
"489","9279",489,9279,"12","9","nn",".20"
"490","19744",490,19744,"12","4","nn",".42"
"491","19638",491,19638,"7","3","nn",".42"
"492","10244",492,10244,"9","7","tt",".22"
"493","19515",493,19515,"6","4","tt",".41"
"494","17958",494,17958,"14","11","nn",".38"
"495","1531",495,1531,"5","1","nn",".4"
"496","13505",496,13505,"5","4","tt",".29"
"497","5457",497,5457,"10","7","tt",".12"
"498","4565",498,4565,"7","4","nn",".10"
"499","13395",499,13395,"7","2","tn",".29"
"500","11031",500,11031,"7","3","nn",".24"
"501","15414",501,15414,"10","3","tt",".33"
"502","18256",502,18256,"11","6","nt",".39"
"503","2764",503,2764,"9","4","tn",".6"
"504","18829",504,18829,"11","0","tn",".40"
"505","20390",505,20390,"12","8","nt",".43"
"506","10919",506,10919,"12","5","tn",".23"
"507","8263",507,8263,"6","0","tt",".18"
"508","16724",508,16724,"5","3","nt",".36"
"509","16781",509,16781,"7","7","tt",".36"
"510","212",510,212,"6","1","tt",".1"
"511","10879",511,10879,"7","1","nn",".23"
"512","18567",512,18567,"6","5","nt",".40"
"513","12076",513,12076,"13","2","tn",".26"
"514","138",514,138,"11","2","nn",".1"
"515","22222",515,22222,"7","2","tn",".47"
"516","21452",516,21452,"12","1","nt",".46"
"517","1072",517,1072,"12","9","nt",".3"
"518","14054",518,14054,"11","7","nt",".30"
"519","18850",519,18850,"5","4","tn",".40"
"520","8551",520,8551,"8","8","tn",".18"
"521","7921",521,7921,"6","6","tn",".17"
"522","19387",522,19387,"14","2","tn",".41"
"523","380",523,380,"11","7","nn",".1"
"524","15325",524,15325,"11","5","nn",".33"
"525","1637",525,1637,"8","5","tn",".4"
"526","22155",526,22155,"1","1","nn",".47"
"527","16625",527,16625,"14","6","tt",".35"
"528","1476",528,1476,"7","4","tn",".4"
"529","5873",529,5873,"14","13","nn",".13"
"530","23072",530,23072,"14","7","tn",".49"
"531","8444",531,8444,"7","5","nn",".18"
"532","13830",532,13830,"4","3","nn",".30"
"533","29",533,29,"14","12","tt",".1"
"534","13367",534,13367,"9","1","nt",".29"
"535","7432",535,7432,"13","7","nt",".16"
"536","17253",536,17253,"12","11","nt",".37"
"537","20574",537,20574,"6","2","tt",".44"
"538","13820",538,13820,"8","4","tn",".30"
"539","10499",539,10499,"13","7","nt",".23"
"540","14259",540,14259,"7","6","tn",".30"
"541","11464",541,11464,"11","11","nn",".25"
"542","11428",542,11428,"11","9","nt",".25"
"543","2676",543,2676,"14","3","nt",".6"
"544","22779",544,22779,"6","3","tn",".48"
"545","9816",545,9816,"1","0","tn",".21"
"546","15468",546,15468,"9","7","tt",".33"
"547","21100",547,21100,"9","6","tt",".45"
"548","450",548,450,"5","0","tt",".1"
"549","11384",549,11384,"6","5","nt",".24"
"550","19290",550,19290,"7","4","nt",".41"
"551","23709",551,23709,"12","5","tt",".50"
"552","14029",552,14029,"10","3","tn",".30"
"553","19839",553,19839,"11","11","tn",".42"
"554","19323",554,19323,"8","3","tt",".41"
"555","19228",555,19228,"11","7","tn",".41"
"556","23245",556,23245,"2","0","tt",".49"
"557","17316",557,17316,"13","3","tt",".37"
"558","226",558,226,"12","4","tn",".1"
"559","11487",559,11487,"11","6","tt",".25"
"560","10619",560,10619,"7","0","nn",".23"
"561","18769",561,18769,"7","0","nt",".40"
"562","18730",562,18730,"12","1","nn",".40"
"563","1538",563,1538,"9","9","tn",".4"
"564","8606",564,8606,"7","4","nn",".19"
"565","673",565,673,"14","1","tt",".2"
"566","12977",566,12977,"13","9","tn",".28"
"567","1274",567,1274,"3","0","tn",".3"
"568","23340",568,23340,"2","0","tt",".50"
"569","11344",569,11344,"14","11","tt",".24"
"570","19752",570,19752,"8","7","nt",".42"
"571","18539",571,18539,"12","6","tn",".39"
"572","11816",572,11816,"13","6","tn",".25"
"573","13574",573,13574,"12","0","nt",".29"
"574","8090",574,8090,"13","10","nt",".17"
"575","17784",575,17784,"10","0","tt",".38"
"576","12387",576,12387,"12","10","tt",".27"
"577","1021",577,1021,"14","0","tn",".3"
"578","14102",578,14102,"6","3","tt",".30"
"579","16515",579,16515,"11","7","nn",".35"
"580","4154",580,4154,"11","1","nn",".9"
"581","3746",581,3746,"4","0","tn",".8"
"582","7385",582,7385,"9","3","tt",".16"
"583","8512",583,8512,"9","7","tn",".18"
"584","17597",584,17597,"14","4","nn",".37"
"585","13184",585,13184,"6","6","tn",".28"
"586","11136",586,11136,"10","6","nn",".24"
"587","1336",587,1336,"4","3","nt",".3"
"588","20103",588,20103,"1","0","nn",".43"
"589","19864",589,19864,"10","8","tt",".42"
"590","9609",590,9609,"1","1","tt",".21"
"591","21455",591,21455,"3","3","nt",".46"
"592","17197",592,17197,"8","2","tt",".37"
"593","4075",593,4075,"14","2","nn",".9"
"594","7301",594,7301,"5","1","tn",".16"
"595","19033",595,19033,"6","4","nn",".40"
"596","13908",596,13908,"11","0","tn",".30"
"597","14439",597,14439,"12","12","nt",".31"
"598","5702",598,5702,"2","0","nn",".12"
"599","15101",599,15101,"12","10","nt",".32"
"600","13438",600,13438,"8","4","tt",".29"
"601","13143",601,13143,"10","8","tn",".28"
"602","20165",602,20165,"13","8","tn",".43"
"603","8468",603,8468,"2","1","nt",".18"
"604","565",604,565,"8","5","tt",".2"
