"sizea","temp","Blocks","cyca","l3ra","l3ma","cycb","l3rb","l3mb"
4096,16,tt,4978050862,1023250394,6394593,8877,334,288
32768,16,nt,7440670105,3456,1763,8471,316,296
131072,16,tt,4964598397,252195359,250051402,9941,307,285
8192,16,nt,14879927258,602,272,8012,310,292
7168,16,tt,3502321291,591001166,41250496,9043,312,286
262144,16,nt,6393069356,482426,28255,9682,311,292
16384,16,nt,9566272311,836,267,8446,313,289
12288,16,tt,4943890820,457036265,178885971,7448,315,287
4096,16,tt,4877459123,1023249568,237310,7068,322,287
32768,16,tt,4918081031,290532720,234133046,7966,303,291
131072,16,nt,6407995472,92802,4628,8684,317,292
4096,16,nt,26814077062,707,295,9116,317,284
2048,16,nt,27354375316,228,23,8912,308,290
3072,16,tt,4914132425,1031259199,192903,7436,315,277
3072,16,nt,27050811961,299,76,9208,309,290
65536,16,nt,6432226702,7532,4983,9021,304,291
6144,16,tt,3985101959,740307286,26862967,8254,307,290
262144,16,tt,4995641143,252200933,252193245,10154,321,290
524288,16,nt,6382557463,491017,58762,9917,313,292
5120,16,nt,23582129029,665,282,8404,314,296
12288,16,nt,11767021087,1632,1214,10709,306,281
2048,16,tt,4989908162,1047364561,135091,8011,313,283
16384,16,tt,4901771724,371679199,206172870,7004,300,281
65536,16,tt,4730969363,252191357,235361583,9149,308,286
5120,16,tt,4498040220,913894356,8132237,8938,316,287
131072,16,tt,4967685020,252193717,250058538,9153,309,288
8192,16,nt,14841650337,1498,962,8506,325,290
32768,16,nt,7453635558,1305,58,8526,304,288
524288,16,tt,4990009941,252186623,252180906,10514,314,289
6144,16,nt,19118455409,1844,1324,9318,309,291
7168,16,nt,15173445688,2935,2474,8865,307,289
8192,16,tt,4137351009,577195812,84515413,9187,304,286
6144,16,tt,3963964303,740307440,26130857,7024,314,293
65536,16,nt,6435821320,7374,2787,9284,321,294
6144,16,nt,19105553779,1547,1148,8902,319,294
8192,16,nt,14851474287,602,305,7921,319,291
16384,16,tt,4898767385,371676699,206405387,9103,360,284
7168,16,tt,3611855901,591003215,46803415,7590,310,290
262144,16,tt,4993292545,252194468,252184638,10283,312,295
5120,16,tt,5611521890,913895361,78677880,7901,305,291
4096,16,tt,4878914031,1023248269,318815,7985,304,292
65536,16,tt,4730598119,252186807,235375010,9200,309,288
12288,16,nt,11767137205,1419,726,9217,319,292
32768,16,nt,7435762094,3384,1643,9155,314,293
2048,16,tt,4990599608,1047364519,176971,9453,301,284
5120,16,nt,23536269122,654,304,9588,309,294
7168,16,nt,15188292609,1117,692,8053,315,285
32768,16,tt,4903162102,290530363,234127376,8009,305,284
524288,16,nt,6382730109,490304,57179,9152,320,289
2048,16,nt,27490322472,225,59,8804,310,288
3072,16,tt,4914391214,1031262414,204863,8607,313,286
131072,16,tt,4962194853,252192228,250031016,9574,323,293
262144,16,nt,6392932479,487584,12695,8645,311,287
131072,16,nt,6406829329,147596,7546,8599,313,285
8192,16,tt,4000665930,577196166,74946073,8053,313,288
524288,16,tt,4982836352,252196286,252189926,9544,316,294
12288,16,tt,4954364465,457035375,179684581,10242,315,295
16384,16,nt,9558065675,1041,503,9258,313,293
3072,16,nt,26970829459,378,8,8583,318,293
4096,16,nt,26640325667,636,233,9072,316,285
131072,16,tt,4966897353,252198284,250054622,10147,340,288
4096,16,nt,26673915843,418,87,8667,309,289
3072,16,tt,4914542091,1031259175,219217,8525,308,292
7168,16,tt,3498830711,591001447,39718444,7731,321,293
7168,16,nt,15196421273,625,200,8696,316,291
16384,16,nt,9562783866,3594,3196,7756,315,289
8192,16,tt,4045392485,577195635,79007425,8013,308,285
4096,16,tt,4878336193,1023249795,277347,8516,323,292
262144,16,tt,4990740677,252196373,252186922,8072,314,291
65536,16,tt,4728832796,252188211,235329419,9069,323,291
8192,16,nt,14843357621,816,401,7934,312,290
32768,16,nt,7443473974,1496,245,8759,300,279
5120,16,tt,5182349417,913895034,52332445,8714,330,284
2048,16,tt,4989537119,1047364539,112162,8276,306,292
2048,16,nt,27285527232,193,20,8776,308,291
6144,16,nt,19127101923,947,492,8622,319,271
524288,16,tt,4979163497,252197116,252190763,9235,322,291
12288,16,tt,4942640535,457035968,179610898,10293,315,297
3072,16,nt,26998852200,344,34,8480,317,292
32768,16,tt,4904888598,290533612,234118018,9061,307,277
12288,16,nt,11774220304,2043,1636,8464,319,293
6144,16,tt,3996872711,740307492,27480870,7088,306,288
131072,16,nt,6409567091,117185,9980,9058,313,288
65536,16,nt,6432541785,6959,3820,9183,314,286
5120,16,nt,23482989319,764,225,10217,318,285
262144,16,nt,6392365042,479899,10577,8375,311,295
16384,16,tt,4902814210,371674588,206595178,8304,317,287
524288,16,nt,6382803016,488070,64081,9100,310,289
131072,16,tt,4968104305,252195809,250057107,9088,314,290
7168,16,nt,15186984690,824,442,8469,312,290
4096,16,tt,4976190692,1023247860,6297122,7698,313,287
8192,16,tt,3982222614,577195431,75277538,8073,309,290
65536,16,nt,6431511702,8149,4851,8639,318,290
524288,16,nt,6382004110,488011,51009,9278,303,292
3072,16,nt,27006305608,297,36,8463,303,284
7168,16,tt,3572633967,591001721,45149878,8864,314,276
32768,16,tt,4913715124,290526812,234284201,8431,321,293
32768,16,nt,7444018172,4296,2819,8322,303,286
12288,16,tt,4938296942,457033094,179389498,7598,310,292
16384,16,nt,9544968564,744,108,8540,317,287
8192,16,nt,14833504972,649,288,8876,320,291
5120,16,nt,23490876401,690,323,10020,325,297
16384,16,tt,4900170366,371677220,206400934,9722,316,291
262144,16,tt,4990585994,252194975,252185645,9678,313,289
3072,16,tt,4914042987,1031261732,184417,8485,309,287
6144,16,tt,3991963847,740307423,25818251,8861,316,288
6144,16,nt,19039309484,1211,838,8931,300,285
4096,16,nt,26688537666,571,183,8060,301,282
65536,16,tt,4731569317,252191840,235440404,9668,314,290
5120,16,tt,4773082552,913894177,25959204,7457,319,296
524288,16,tt,4982740985,252195655,252190007,11340,314,294
262144,16,nt,6392628750,483573,11432,8284,307,292
2048,16,nt,27487874023,214,26,9204,314,295
2048,16,tt,4990099799,1047364555,147094,8379,307,282
12288,16,nt,11757484068,1926,1581,8575,302,282
131072,16,nt,6407871511,158681,502,8276,315,293
3072,16,tt,4914064800,1031259211,190384,8163,308,290
524288,16,tt,4984479869,252195907,252188104,10012,307,288
4096,16,tt,4877895403,1023246760,266581,8993,303,289
65536,16,nt,6432636088,4551,565,8217,307,294
32768,16,tt,4909166749,290526304,234246235,8472,306,285
12288,16,nt,11751276391,3349,3001,9462,309,286
524288,16,nt,6382935570,488699,63893,9902,310,287
6144,16,tt,3935485552,740307490,24105365,7650,307,292
16384,16,nt,9558438140,1198,727,7817,310,285
8192,16,nt,14828740016,682,106,8292,308,289
3072,16,nt,26959136115,357,85,7756,309,289
16384,16,tt,4902474195,371675777,206548648,8323,331,280
