"prefetch","size","memtyp","temp","app","displaysize","cycles","l3m","l3l"
on,small,wb,t,memory_load_dep, 8192KB,10.272.881.577,27.333.634,53.716.094
on,small,wb,t,memory_load_dep, 4096KB,7.153.687.747,2.129.519,10.633.159
on,small,wb,t,memory_load_dep, 2048KB,6.983.361.054,41.386,8.536.479
on,small,wb,t,memory_load_dep, 1024KB,6.887.416.845,20.981,8.544.927
on,small,wb,t,memory_load_dep, 512KB,6.874.950.091,15.884,8.592.088
on,small,wb,t,memory_load_dep, 256KB,6.669.165.124,69.977,6.550.610
on,small,wb,t,memory_load_random, 32768KB,9.643.063.616,285.456.809,483.227.554
on,small,wb,t,memory_load_random, 16384KB,8.198.602.107,224.698.855,466.916.141
on,small,wb,t,memory_load_random, 8192KB,4.799.448.262,80.353.109,425.516.964
on,small,wb,t,memory_load_random, 4096KB,2.821.529.117,2.223.024,461.214.193
on,small,wb,t,memory_load_random, 2048KB,2.669.263.376,33.393,429.289.388
on,small,wb,t,memory_load_random, 1024KB,2.482.796.626,11.847,366.408.447
on,small,wb,t,memory_load_random, 512KB,2.185.750.426,8.984,231.347.131
on,small,wb,t,memory_load_random, 256KB,1.754.381.716,5.905,72.474.511
on,small,wb,nt,memory_load_ind, 32768KB,7.545.089.787,247.148.942,435.733.096
on,small,wb,nt,memory_load_ind, 16384KB,7.230.439.377,222.178.950,432.114.430
on,small,wb,nt,memory_load_ind, 8192KB,3.797.311.195,83.773.164,344.242.233
on,small,wb,nt,memory_load_ind, 4096KB,2.458.923.337,816.023,363.417.346
on,small,wb,nt,memory_load_ind, 2048KB,2.450.351.789,101.663,361.152.855
on,small,wb,nt,memory_load_ind, 1024KB,2.436.088.749,41.581,365.286.277
on,small,wb,nt,memory_load_ind, 512KB,2.432.574.311,22.059,364.980.264
on,small,wb,nt,memory_load_ind, 256KB,2.041.357.285,9.276,244.339.536
on,small,wb,nt,memory_load_dep, 32768KB,11.903.472.871,36.011.336,117.095.618
on,small,wb,nt,memory_load_dep, 16384KB,11.863.655.819,35.350.513,110.764.023
on,small,wb,nt,memory_load_dep, 8192KB,10.318.642.550,27.545.922,54.224.812
on,small,wb,nt,memory_load_dep, 4096KB,7.110.203.674,1.025.210,9.559.182
on,small,wb,nt,memory_load_dep, 2048KB,6.896.877.235,56.751,8.574.933
on,small,wb,nt,memory_load_dep, 1024KB,6.885.657.055,32.773,8.585.523
on,small,wb,nt,memory_load_dep, 512KB,6.960.102.177,25.626,8.578.089
on,small,wb,nt,memory_load_dep, 256KB,6.631.311.186,164.458,5.718.675
on,small,wb,nt,memory_load_random, 32768KB,9.682.471.158,285.451.234,483.732.392
on,small,wb,nt,memory_load_random, 16384KB,8.256.904.074,226.020.508,466.583.248
on,small,wb,nt,memory_load_random, 8192KB,4.883.513.496,82.354.761,428.506.123
on,small,wb,nt,memory_load_random, 4096KB,2.781.295.727,1.671.193,463.798.870
on,small,wb,nt,memory_load_random, 2048KB,2.640.976.444,58.531,432.529.388
on,small,wb,nt,memory_load_random, 1024KB,2.507.770.625,29.925,363.912.240
on,small,wb,nt,memory_load_random, 512KB,2.170.856.650,13.254,233.265.578
on,small,wb,nt,memory_load_random, 256KB,1.682.856.261,8.949,34.855.803
on,small,wc,t,memory_load_ind, 32768KB,6.700.642.062,222.260.327,427.265.668
on,small,wc,t,memory_load_ind, 16384KB,5.966.214.856,183.880.076,413.339.510
on,small,wc,t,memory_load_ind, 8192KB,3.214.256.020,55.037.749,340.514.595
on,small,wc,t,memory_load_ind, 4096KB,2.480.973.261,3.684.619,363.068.225
on,small,wc,t,memory_load_ind, 2048KB,2.432.164.070,4.249,365.688.293
on,small,wc,t,memory_load_ind, 1024KB,2.431.237.131,27.537,365.874.843
on,small,wc,t,memory_load_ind, 512KB,2.359.747.405,9.330,336.996.529
on,small,wc,t,memory_load_ind, 256KB,1.969.610.157,653,223.687.158
on,small,wc,t,memory_load_dep, 32768KB,11.497.270.932,33.376.570,101.426.854
on,small,wc,t,memory_load_dep, 16384KB,10.745.781.970,28.245.863,64.934.975
on,small,wc,t,memory_load_dep, 8192KB,8.332.100.430,11.124.448,19.393.912
on,small,wc,t,memory_load_dep, 4096KB,6.944.304.408,401.415,8.969.272
on,small,wc,t,memory_load_dep, 2048KB,6.979.850.903,22.560,8.551.765
on,small,wc,t,memory_load_dep, 1024KB,6.979.129.571,11.177,8.545.720
on,small,wc,t,memory_load_dep, 512KB,6.962.300.289,1.959,8.563.230
on,small,wc,t,memory_load_dep, 256KB,6.640.927.892,975,5.611.821
